results/AGENT-COORDINATION-ARCHIVE-20260707.md,54,2026-07-06,attention-fwd,combine-unroll post-qkrope boundary recheck,s4096+s3072,PARKED,2105Z log contaminated (absolutes ~5.7ms; means contradicted medians),parked with no source change; reclaim needs clean local GPU repeat
results/AGENT-COORDINATION-ARCHIVE-20260707.md,1985,2026-07-05,attention,s8192 bwd band T32->T40,s8192,PROMOTED,T40 -88.48/-109.62 12/12 focused; promoted old-minus-new +75.81/+80.37 old 0/16,commit a8f137c
results/AGENT-COORDINATION-ARCHIVE-20260707.md,2000,2026-07-05,measurement,s8192 post-T40 profile/score,s8192,MEASUREMENT,mk 7053.2 vs graph+ 3163.6 (2.23x); ATTN_DKV 2602.8; ATTN_FWD 1045.1,
results/AGENT-COORDINATION-ARCHIVE-20260707.md,2012,2026-07-05,rowop,s8192 QKBWD split-V,s8192,PROMOTED,-34.59/-63.47 (15/16; 16/16); promoted +42.88/+31.78 old 2/16; 1/16,commit 53632a2; port exposed stale-slot kv dependency bug (w1.3 rel ~1.03) fixed with unslotted root read
results/AGENT-COORDINATION-ARCHIVE-20260707.md,2033,2026-07-05,measurement,s8192 post-splitV profile/score,s8192,MEASUREMENT,mk 6972.5 vs graph+ 3161.4 (2.21x); ATTN_DKV 2529.2,
results/AGENT-COORDINATION-ARCHIVE-20260707.md,2047,2026-07-05,scheduling,s8192 MK_ROWOP_CLAIM=8 recheck,s8192,NO-GO,+47.54 (1/16); reverse +32.27 (7/16) with doubled absolutes treated contaminated,keep rowop claim default
results/AGENT-COORDINATION-ARCHIVE-20260707.md,2060,2026-07-05,rowop,QKBWD split-V widen to s4096,s4096,PROMOTED,-16.59/-3.52 (40/40; 36/40); confirm -9.60/-12.38; promoted +28.61/+17.62,commit 63f4f11
results/AGENT-COORDINATION-ARCHIVE-20260707.md,2080,2026-07-05,measurement,s4096 post-split-V profile/score,s4096,MEASUREMENT,mk 3126.1 vs graph+ 1585.0 (1.97x); ATTN_DQ 762.6,split-V target now below attention dQ/fwd
results/AGENT-COORDINATION-ARCHIVE-20260707.md,2095,2026-07-05,rowop,QKBWD split-V widen to s3072,s3072,PROMOTED,-14.67/-8.99 (40/40; 37/40); confirm -11.28/-12.85; promoted +9.17/+15.81,commit 6e2251a
results/AGENT-COORDINATION-ARCHIVE-20260707.md,2115,2026-07-05,rowop,s2048 split-V boundary,s2048,NO-GO,+0.22 (20/40) default-first vs -12.85 (38/40) split-first order-mixed; confirm same pattern,keep split-V gate at exact S3072+
results/AGENT-COORDINATION-ARCHIVE-20260707.md,2130,2026-07-05,measurement,s3072 post-split-V profile/score,s3072,MEASUREMENT,mk 2485.3 vs graph+ 1273.2 (1.95x); ATTN_DQ 516.8,
results/AGENT-COORDINATION-ARCHIVE-20260707.md,2143,2026-07-05,fusion,SSQ-off long-shape check,s3072+s4096,PROMOTED,S3072 -5.39/-2.06 confirm -4.85/-3.38 promoted +3.38/+7.73; S4096 rejected order-mixed (-7.60/+4.18),commit 637102c disables SSQ fusion at S3072 only
results/AGENT-COORDINATION-ARCHIVE-20260707.md,2161,2026-07-05,measurement,s3072 post-SSQ profile/score,s3072,MEASUREMENT,mk 2468.5 vs graph+ 1339.9 (fresh graph+ row moved high vs 1273.2); total 2488.5,use paired A/B for SSQ delta
results/AGENT-COORDINATION-ARCHIVE-20260707.md,2175,2026-07-05,fusion,s8192 SSQ-off endpoint,s8192,NO-GO,-2.27 (8/16) then +2.34 (12/16) order-mixed noise,keep SSQ on at S8192; gate stays exact S3072 (then S2048)
results/AGENT-COORDINATION-ARCHIVE-20260707.md,2186,2026-07-05,fusion,SSQ-off s2048,s2048,PROMOTED,-3.02/-7.63 (32/40; 35/40); confirm -10.66/-3.66; promoted +8.37/+3.02,commit def4cbb
results/AGENT-COORDINATION-ARCHIVE-20260707.md,2203,2026-07-05,measurement,s2048 post-SSQ profile/score,s2048,MEASUREMENT,mk 1780.9 vs graph+ 1044.8 (1.70x); ATTN_DQ 274.9,
results/AGENT-COORDINATION-ARCHIVE-20260707.md,2217,2026-07-05,rowop,s2048 split-V recheck post-SSQ,s2048,NO-GO,-0.70 (19/40) default-first vs -12.75 (40/40) split-first still order-mixed,keep gate at S3072+
results/AGENT-COORDINATION-ARCHIVE-20260707.md,2228,2026-07-05,gemm-dw,s2048 Drow direct-store recheck,s2048,NO-GO,+13.58 (2/40)/+3.22 (15/40),keep old atomic Drow epilogue
results/AGENT-COORDINATION-ARCHIVE-20260707.md,2245,2026-07-05,attention-dkv,s8192 dKV row-scalar broadcast,s8192,PROMOTED,-10.90/-9.02 (14-15/16); confirm -16.85/-13.97; promoted +10.61/+7.60 old-minus-new,exact H256/D64/S8192 default; later reverted after GEMM mbar (see 20260706 rechecks)
results/AGENT-COORDINATION-ARCHIVE-20260707.md,2262,2026-07-05,measurement,s8192 post-rowbcast profile/score,s8192,MEASUREMENT,mk 7016.6 vs graph+ 3123.3 (2.25x); ATTN_DKV 2584.4 mostly wait,first attempt failed on relative venv path
results/AGENT-COORDINATION-ARCHIVE-20260707.md,2297,2026-07-05,rowop,H256 RMS dx R2 specialization,s8192,PROMOTED,S8192 -25.10/-43.33 16/16; promoted +23.33/+26.99 (old 3/16; 2/16); S4096 order-mixed (-16.45/+1.23) not gated,MK_RMS_DX_H256 exact S8192 default only
results/AGENT-COORDINATION-ARCHIVE-20260707.md,2310,2026-07-05,measurement,s8192 post-RMS-dx profile/score,s8192,MEASUREMENT,total 7233.5; mk 7156.9 vs graph+ 3119.0 (2.29x); ATTN_DKV 2649.7 (2112.1 wait),absolute noisier than paired A/B
results/AGENT-COORDINATION-ARCHIVE-20260707.md,2351,2026-07-05,rowop,SwiGLU 3W route for H256/I768,s4096+s8192,NO-GO,S8192 +6.08/+1.36; S4096 confirm -50.02/-52.48 but promoted-default gate invalidated (old won -6.42 then +0.38 neutral),source probe reverted; keep 2W defaults
results/AGENT-COORDINATION-ARCHIVE-20260707.md,2365,2026-07-05,attention-dq,s2048 DQ float2-store probe post-T12,s2048,NO-GO,+1.10 (23/40)/-1.86 (15/40) noise,keep S2048 outside _adqf2; recorded 4bf7401
results/AGENT-COORDINATION-ARCHIVE-20260707.md,2376,2026-07-05,measurement,s3072 profile refresh @1b9cb20,s3072,MEASUREMENT,total 2493.9; ATTN_DQ 518.4; lm-head 224.6,
results/AGENT-COORDINATION-ARCHIVE-20260707.md,2386,2026-07-05,attention,s3072 bwd band retune,s3072,NO-GO,T10/T12/T14/T18/T28 lose both orders; T20 -6.64/+0.86 mixed; T24 noise,keep T16
results/AGENT-COORDINATION-ARCHIVE-20260707.md,2396,2026-07-05,attention-fwd,s3072 fwd-band retune,s3072,NO-GO,T20/T24/T36/T40/T48 lose; T28 -1.44/+9.01 mixed,keep T32; recorded b5d2517
results/AGENT-COORDINATION-ARCHIVE-20260707.md,2405,2026-07-05,measurement,s2048 post-T12 profile,s2048,MEASUREMENT,total 1760.7; ATTN_DQ 276.7; ATTN_FWD 131.8,
results/AGENT-COORDINATION-ARCHIVE-20260707.md,2415,2026-07-05,attention,s2048 T12 band-order dq_first recheck,s2048,NO-GO,+18.50/+21.31 (1/40 both),keep lpt at S2048; recorded 1b9cb20
results/AGENT-COORDINATION-ARCHIVE-20260707.md,2427,2026-07-05,measurement,post-resweep profile refresh,s2048+s4096+s8192,MEASUREMENT,totals 1798.8/3159.4/7221.0; S8192 ATTN_DKV 2655.4,
results/AGENT-COORDINATION-ARCHIVE-20260707.md,2441,2026-07-05,attention-fwd,s2048 fwd-band retune,s2048,NO-GO,T8/T12/T14/T24 lose; T10 +7.94/-4.98 mixed; T18/T20 reverse-only,keep T16
results/AGENT-COORDINATION-ARCHIVE-20260707.md,2464,2026-07-05,attention,s2048 bwd band T16->T12,s2048,PROMOTED,T12 -29.94/-36.69 40/40; promoted +34.85/+32.27 old 0/40,commit bcba0d2
results/AGENT-COORDINATION-ARCHIVE-20260707.md,2472,2026-07-05,scheduling,post-band resweep batch 2,s2048+s3072+s4096,NO-GO,cold_cap washes everywhere; MK_WGMMA_TN=0 and MK_DW_TARGET_TILES=192 lose +160-174us 0/40,TN dW gate + dW target load-bearing post-band; day total S8192 8395->~7213us
results/AGENT-COORDINATION-ARCHIVE-20260707.md,2496,2026-07-05,scheduling,idle32 extend to s2048,s2048,PROMOTED,idle32 -12.13/-14.74 (40/40; 38/40); promoted +15.04/+11.34 old 1-2/40,commit 9af56ee
results/AGENT-COORDINATION-ARCHIVE-20260707.md,2511,2026-07-05,attention-fwd,s4096 fwd-band T32->T22,s4096,PROMOTED,narrow T22 -23.26/-22.64 40/40; promoted +20.77/+21.71 old 2/40; 1/40,cherry-picked to shared as f5393b1
results/AGENT-COORDINATION-ARCHIVE-20260707.md,2526,2026-07-05,scheduling,post-band resweep batch 1 (idle32 s8192),s8192,FLIP-PROMOTED,pooled -11.2us (100/128); promoted +14.2/+2.3 vs forced-256; cold_cap 16/33 + head-dx 96/384 wash,S8192 ~7213us (day -14.1%; gap ~2.30x); flip found post-band
results/AGENT-COORDINATION-ARCHIVE-20260707.md,2541,2026-07-05,rowop,SwiGLU cached-2W s8192 post-band recheck,s8192,FLIP-PROMOTED,pre-band +47.5us -> now -111.9/-128.3 (16/16); promoted +128.8/+116.0 (0/16); RMS_DX_R4 s4096 held negative +5.6/+8.1,commit da7e525; lesson: banding invalidated pre-band knob verdicts
results/AGENT-COORDINATION-ARCHIVE-20260707.md,2563,2026-07-05,attention-fwd,fwd-band broad sweep,s4096+s8192,NO-GO,S4096 only T24 positive -17.0/-11.6 (23-24/24); S8192 T48/T56/T72/T80 all lost,keep S8192 T64; S4096 narrowed to T22 next
results/AGENT-COORDINATION-ARCHIVE-20260707.md,2593,2026-07-05,measurement,post-combine profile @98591ae,s4096+s8192,MEASUREMENT,S4096 3147.7 (DQ 766.9); S8192 7354.9 (DKV 2668.6/2304.4 wait); ATTN_COMBINE 67.2 at S8192,
results/AGENT-COORDINATION-ARCHIVE-20260707.md,2612,2026-07-05,attention-fwd,combine row-batching R=8,s3072+s4096+s8192,PROMOTED,S3072 -33.1/-27.9; S4096 -28.5/-23.6; S8192 -69.5/-46.2 (old <=2/40),commit fe39656; day summary: composed gaps 1.78/1.89/2.0/2.3x from 1.83/1.97/2.13/2.69x
results/AGENT-COORDINATION-ARCHIVE-20260707.md,2637,2026-07-05,rowop,s4096 RMS_DX_R4 recheck post-T29,s4096,NO-GO,+5.41/+5.22 (9/40; 11/40),keep R2
results/AGENT-COORDINATION-ARCHIVE-20260707.md,2649,2026-07-05,attention,s4096 T29 lpt_dq_tie tie-break probe,s4096,NO-GO,+11.86/+10.34 (2/40; 6/40),keep lpt; recorded 98591ae
results/AGENT-COORDINATION-ARCHIVE-20260707.md,2666,2026-07-05,attention,s4096 T29 dq_first retest,s4096,NO-GO,+51.65/+48.11 0/40 both orders,keep lpt at S4096
results/AGENT-COORDINATION-ARCHIVE-20260707.md,2681,2026-07-05,measurement,s4096 post-T29 profile,s4096,MEASUREMENT,total 3190.3 (first sample contaminated at 5661.7); ATTN_DQ 765.9 (548.1 wait),
results/AGENT-COORDINATION-ARCHIVE-20260707.md,2693,2026-07-05,measurement,post-compose long profile,s3072+s4096+s8192,MEASUREMENT,totals 2517.7/3236.4/7354.8; ATTN_COMBINE fat on-path 100.1/181.0/301.3; S8192 flipped DKV-led 2298us wait,motivates combine row-batching claim
results/AGENT-COORDINATION-ARCHIVE-20260707.md,2710,2026-07-05,attention,s4096 bwd band T32->T29,s4096,PROMOTED,T29 -60.3/-60.4 then -62.9/-60.4 40/40; final 3161.7 vs 3221.9 old 0/40,commit 77346e2
results/AGENT-COORDINATION-ARCHIVE-20260707.md,2725,2026-07-05,measurement,composed day-close scoreboard,long-S,MEASUREMENT,S2048 1.78x; S3072 1.89x; S4096 2.06x; S8192 2.34x (7327.2 vs 3137.1; day start 2.69x),caveat: single bench rows ~20-40us above paired instrument at S2048-4096
results/AGENT-COORDINATION-ARCHIVE-20260707.md,2733,2026-07-05,attention-fwd,fwd-band claim close + validation battery,s2048-s8192,NOTE,post-rebase S8192 default-vs-off +494.4/+468.9 (0/16) composes with dq_first; battery S2048 +21.9/+14.5 S3072 +47.8/+44.2 S4096 +6.9/+8.1 S8192 +505.4/+476.6,merge 94e6c08+d86b5ce by band-order session; own branch redundant
results/AGENT-COORDINATION-ARCHIVE-20260707.md,2748,2026-07-05,attention-onepass,fused one-pass attention bwd,s4096,REFUTED,parity-clean but +118.98us 0/40,mechanism: dQ fp32-atomic store-amplification (~135MB/layer L2-serialized) loses to L2-resident re-reads; scales worse with S; do not revisit
results/AGENT-COORDINATION-ARCHIVE-20260707.md,2807,2026-07-05,attention,s8192 dq_first band order,s8192,PROMOTED,-103.18 (16/16)/-74.24 (15/16) vs lpt; do not broaden: S2048 +8.86/+22.14 S3072 +52.72/+62.90 S4096 +47.28/+51.81,commit 94c1a2a; MK_ATTN_BAND_ORDER=lpt restores old order
results/AGENT-COORDINATION-ARCHIVE-20260707.md,2825,2026-07-05,measurement,s8192 post-bandorder profile,s8192,MEASUREMENT,total 7752.1; top wait moved DQ->DKV: DKV 2664.1 (2298.0 wait); off-path DKV 2632.3 DQ 2523.5,suggests interleave probe next
results/AGENT-COORDINATION-ARCHIVE-20260707.md,2850,2026-07-05,attention,s8192 interleave_desc band order,s8192,NO-GO,+31.97 (2/16)/+17.49 (2/16),keep dq_first; worktree left for inspection
results/AGENT-COORDINATION-ARCHIVE-20260707.md,2874,2026-07-05,attention,s8192 dq_first_dkv_tail order,s8192,NO-GO,+31.42 (1/16)/+31.54 (1/16),keep dq_first
results/AGENT-COORDINATION-ARCHIVE-20260707.md,2927,2026-07-05,attention-fwd,fwd-band default gates merge,s2048-s8192,PROMOTED,vs forced-off S2048 -23.86 (40/40) S3072 -39.84 (40/40) S4096 -6.64 (33/40) S8192 -481.94 (16/16),commits 94e6c08+d86b5ce; gates {2048:16;3072:32;4096:32;8192:64}; impl from peer afa6e22 revalidated on current head
results/AGENT-COORDINATION-ARCHIVE-20260707.md,2940,2026-07-05,measurement,s8192 post-fwdband profile,s8192,MEASUREMENT,total 7345.8; ATTN_FWD 1524->849.1; ATTN_COMBINE 306.7 new; DKV 2662.3 (2304.7 wait),
results/AGENT-COORDINATION-ARCHIVE-20260707.md,2955,2026-07-05,attention,s8192 band-order recheck post-fwdband,s8192,NO-GO,lpt +113.98/+104.86 0/16,keep dq_first
results/AGENT-COORDINATION-ARCHIVE-20260707.md,2962,2026-07-05,attention,short-S banding,s512+s1024,NO-GO,S1024 T8 -0.2/+4.5 neutral; S512 T4 +15.2/+4.1; uniform-C1 points +22..+70,also: S4096 dq wait is SM contention under co-running dkv bands not dependency stall
results/AGENT-COORDINATION-ARCHIVE-20260707.md,2975,2026-07-05,measurement,post-band scoreboard,long-S,MEASUREMENT,S2048 1843.9 vs 1043.3 (1.77x); S3072 2526.9 vs 1336.1 (1.89x); S4096 3206.0 vs 1589.1 (2.02x); S8192 7782.2 vs 3044.8 (2.56x),
results/AGENT-COORDINATION-ARCHIVE-20260707.md,2989,2026-07-05,attention-fwd,fwd-band design pass,long-S,SCAFFOLD,fwd split should be new default-off op writing opart/mpart/lpart reusing OP_ATTN_COMBINE; uniform-C first; cap C<=8 (float w[8]),risks: combine hop/partial traffic can erase straggler wins
results/AGENT-COORDINATION-ARCHIVE-20260707.md,3040,2026-07-05,attention-fwd,uniform-C fwd split+global-combine op-level,s2048+s4096+s8192,REFUTED,C2 +8.82/+84.88/+220.14; C4 +12.99/+93.22/+222.85 near-zero wins,refutes simple split+global-combine; future fwd-band needs design avoiding global combine traffic/hop
results/AGENT-COORDINATION-ARCHIVE-20260707.md,3054,2026-07-05,measurement,s8192 post-band profile @fe8884b,s8192,MEASUREMENT,total 7822.0; ATTN_DQ 2752.4 (1796.3 wait + 956.1 span); ATTN_FWD 1507.0,new top path is DQ wait
results/AGENT-COORDINATION-ARCHIVE-20260707.md,3066,2026-07-05,attention,banded attention-bwd chunking merge,s2048-s8192,PROMOTED,env A/B S2048 -21/-16 S3072 -37/-42 S4096 -81/-79 S8192 -532/-525 all 40/40 or 16/16; merged confirm +12.5/+35.1/+70.4/+505.0,commits 06ab5b6+8508a7d; gate {2048:16;3072:16;4096:32;8192:32}; MK_ATTN_BAND=0 restores uniform
results/AGENT-COORDINATION-ARCHIVE-20260707.md,3115,2026-07-05,gemm-dx,small MLP dX n128 split-K probe,small,NO-GO,MIN_K2048 +64.70 (0/40); MIN_K1024 +188.59 (0/40),MK_SMALL_DX_N128_SPLIT rejected; worktree left for inspection
results/AGENT-COORDINATION-ARCHIVE-20260707.md,3172,2026-07-05,attention-dkv,DKV row-broadcast probe timing,nano+small,NO-GO,nano +0.18 neutral (31/64); small +19.95 (5/48),rejected local probe unless later profile shows row-scalar bottleneck
results/AGENT-COORDINATION-ARCHIVE-20260707.md,3191,2026-07-05,attention-dkv,small DKV chunk retest post-float2,small,NO-GO,DKV_C2 +59.58 (0/80); DKV_C3 +55.68 (0/80),keep DKV_C=1/DQ_C=1
results/AGENT-COORDINATION-ARCHIVE-20260707.md,3201,2026-07-05,attention-dq,DQ float2 Cq1 expansion,s8192,PROMOTED,S8192 -32.53 (12/12) clean repeat -29.92 (10/12); S256 rejected +3.90; S128 reversed +1.18; small too weak -5.33,_adqf2 gate = H256 S3072/S4096/S8192
results/AGENT-COORDINATION-ARCHIVE-20260707.md,3213,2026-07-05,attention,long-S attention scaling phase-1 decomposition,s1024-s8192,LAW,bwd competitive 1.14x/1.09x at S1024/2048; collapses at C=1: S3072 1.63x S4096 1.61x S8192 2.21x; straggler-bound 2.7us/stage dkv 1.9us/stage dq; fwd 64st x 1.5us,mechanism supports banded chunking (split only long tiles); uniform C=2 fails
results/AGENT-COORDINATION-ARCHIVE-20260707.md,3265,2026-07-05,attention-dkv,DKV float2 S128/S256 boundary,s128+s256,MEASUREMENT,S128 -0.85 (94/160); S256 -15.15 (119/120),boundary confirms broad D=64/S%128 gate
results/AGENT-COORDINATION-ARCHIVE-20260707.md,3270,2026-07-05,measurement,post-DKV-float2 profile/score,all shapes,MEASUREMENT,nano 912.8 vs 631.4; small 3457.7 vs 1904.0; deep 2382.7 vs 1785.8; S3072 2593.8 vs 1340.5; S4096 3323.2 vs 1569.4; S8192 8221.0 vs 3123.3,
results/AGENT-COORDINATION-ARCHIVE-20260707.md,3296,2026-07-05,attention-dkv,DKV direct-atomic float2 epilogue,D64 broad,PROMOTED,nano -5.70; S1024 -7.78; small -39.86; S2048 -10.26; S3072 -7.20; S4096 -23.44; S8192 -47.39,gate c.D==64 and S%128==0; MK_ATTN_DKV_FLOAT2_ATOMIC=0 restores scalar
results/AGENT-COORDINATION-ARCHIVE-20260707.md,3315,2026-07-05,attention-dq,DQ split-mask probability loop,s3072+s4096,NO-GO,S3072 +41.98 (0/40); S4096 +45.98 (0/36),probe reverted; per-element masked predicate cheaper than stage-level branch
results/AGENT-COORDINATION-ARCHIVE-20260707.md,3325,2026-07-05,measurement,post-dqf2 profile/score,s3072+s4096,MEASUREMENT,S4096 3300.2 vs 1586.8 (2.08x); S3072 2610.5 vs 1324.5 (1.97x after outlier rerun),
results/AGENT-COORDINATION-ARCHIVE-20260707.md,3344,2026-07-05,attention-dq,DQ C=1 float2 direct-store epilogue,s3072+s4096,PROMOTED,S3072 -9.68 (45/48) promoted -11.46 (36/40); S4096 -15.95 (39/40) promoted -7.17 (30/36),exact-shape gate; S2048/S8192 stay scalar
results/AGENT-COORDINATION-ARCHIVE-20260707.md,3363,2026-07-05,measurement,post-idle32 profile/score,s3072+s4096,MEASUREMENT,S3072 2647.5 vs 1341.6 (1.97x); S4096 3331.1 vs 1581.2 (2.11x); S4096 ATTN_DQ 914.5,
results/AGENT-COORDINATION-ARCHIVE-20260707.md,3386,2026-07-05,scheduling,idle-poll 32ns promotion,s3072+s4096,PROMOTED,S3072 -11.06 (45/48) clean -6.93; S4096 -11.20 (40/40) clean -5.89; S8192 rejected (+13.22; 1/16),MK_IDLE_NS exposed as build knob; gate exact S3072/S4096
results/AGENT-COORDINATION-ARCHIVE-20260707.md,3407,2026-07-05,measurement,post-headdx-sk1 profile/score,s3072+s4096,MEASUREMENT,S3072 2627.4 vs 1329.4 (1.98x); S4096 3341.7 vs 1569.5 (2.13x); head-dX 94.9 vs pre 105.5,
results/AGENT-COORDINATION-ARCHIVE-20260707.md,3425,2026-07-05,lm-head,head-dX no-zero/no-atomic sk1 widening,s3072+s4096+s8192,PROMOTED,S3072 -7.39/-6.48; S4096 -9.47/-10.38; S8192 -21.92/-16.22,widened to H256/S>=2048 gated sk_head==1
results/AGENT-COORDINATION-ARCHIVE-20260707.md,3443,2026-07-05,measurement,s3072 profile/score @8058040,s3072,MEASUREMENT,2651.2 vs 1327.3 (2.00x); ATTN_DQ 569.3; ATTN_FWD 336.9,
results/AGENT-COORDINATION-ARCHIVE-20260707.md,3458,2026-07-05,rowop,long-shape RMS_DX_R4 recheck,s2048+s3072+s4096,NO-GO,S2048 forced R2 +6.51 (26/80); S3072 R4 +3.74 (26/80); S4096 R4 +4.37 (15/64),keep S2048 R4 and S3072/S4096 R2
results/AGENT-COORDINATION-ARCHIVE-20260707.md,3471,2026-07-05,attention-dq,DQ x2 WGMMA batching (S+dP),s2048+s4096,NO-GO,S2048 +3.87 (28/80) order-biased; S4096 +14.11 (4/64),isolated MK_ATTN_DQ_X2_SD probe not promoted
results/AGENT-COORDINATION-ARCHIVE-20260707.md,3486,2026-07-05,attention,s4096 attention chunk probe,s4096,NO-GO,1/2 +77.57 (0/80); 1/3 +125.12 (0/80); 2/2 +100.21 (0/80); 2/1 +21.63 (1/80),keep DKV_C=1/DQ_C=1
results/AGENT-COORDINATION-ARCHIVE-20260707.md,3498,2026-07-05,measurement,s4096 post-sw2w profile/score,s4096,MEASUREMENT,3370.2 vs 1584.1 (2.13x); ATTN_DQ 922.8; ATTN_FWD 439.6,
results/AGENT-COORDINATION-ARCHIVE-20260707.md,3511,2026-07-05,attention,s2048 DQ over-split probe,s2048,NO-GO,2/3 +67.41 (0/160); 2/4 +62.40 (0/160); 1/3 +46.82 (0/160),keep DKV_C=2/DQ_C=2
results/AGENT-COORDINATION-ARCHIVE-20260707.md,3521,2026-07-05,rowop,s8192 cached SwiGLU 2W boundary,s8192,NO-GO,+50.88/+45.22 combined +47.47 (10/40),keep gate capped at S4096; later FLIP-PROMOTED post-band (da7e525)
results/AGENT-COORDINATION-ARCHIVE-20260707.md,3532,2026-07-05,rowop,s4096 cached SwiGLU 2W,s4096,PROMOTED,-3.71/-5.07 combined -4.21 (59/80); promoted -6.61/-0.54 combined -5.23 (52/80),smaller long-S win; gate now includes S4096
results/AGENT-COORDINATION-ARCHIVE-20260707.md,3548,2026-07-05,rowop,s3072 cached SwiGLU 2W,s3072,PROMOTED,-13.73/-8.48 combined -10.99 (113/128); promoted -16.37/-13.15 combined -15.38 (124/128),gate now includes S3072
results/AGENT-COORDINATION-ARCHIVE-20260707.md,3563,2026-07-05,measurement,s2048 post-sw2w profile/score,s2048,MEASUREMENT,1908.9 vs 1043.3 (1.83x); ATTN_DQ 335.3,
results/AGENT-COORDINATION-ARCHIVE-20260707.md,3576,2026-07-05,rowop,s2048 cached SwiGLU 2W,s2048,PROMOTED,-10.21/-9.73 combined -10.11 (165/192); promoted -6.10/-5.34 combined -5.62 (145/192),gate now includes S2048
results/AGENT-COORDINATION-ARCHIVE-20260707.md,3590,2026-07-05,measurement,s1024 post-sw2w score,s1024,MEASUREMENT,1228.4 vs 778.0 (1.58x),
results/AGENT-COORDINATION-ARCHIVE-20260707.md,3599,2026-07-05,attention,s1024 attention chunk recheck,s1024,NO-GO,1/2 +62.19 (0/240); 2/1 +14.67 (16/240); 1/1 +61.12 (0/240); 3/2 +49.47 (0/240),keep 2/2
results/AGENT-COORDINATION-ARCHIVE-20260707.md,3610,2026-07-05,gemm-dx,s1024 n128 NN min16 recheck,s1024,NO-GO,+22.24/+26.98 combined +24.37 (2/320),keep m64n64 NN threshold
results/AGENT-COORDINATION-ARCHIVE-20260707.md,3620,2026-07-05,measurement,s1024 post-sw2w profile,s1024,MEASUREMENT,total 1208.2; ATTN_DKV 136.0; ATTN_FWD 128.9; SWIGLU_BWD_2W 75.9,
results/AGENT-COORDINATION-ARCHIVE-20260707.md,3632,2026-07-05,rowop,s1024 cached SwiGLU 2W over cached 1W,s1024,PROMOTED,-11.39/-4.78 combined -7.92 (278/320); promoted -2.67/-14.10 combined -8.46 (262/320),MK_SWIGLU_BWD_2W=0 restores 1W
results/AGENT-COORDINATION-ARCHIVE-20260707.md,3648,2026-07-05,measurement,s1024 post-swcache1w profile/score,s1024,MEASUREMENT,1237.7 vs 778.0 (1.59x); cached 1W SWIGLU_BWD 55.7,
results/AGENT-COORDINATION-ARCHIVE-20260707.md,3664,2026-07-05,rowop,1W sigmoid-cache,s1024,PROMOTED,S1024 -20.24 (319/320); promoted -12.32 (286/320); nano neutral -1.26 (176/320); S2048 rejected +16.56 (6/192),gate H512/S1024 small + H256/S1024
results/AGENT-COORDINATION-ARCHIVE-20260707.md,3682,2026-07-05,executor,df2 hot/cold ready rings port,small,NO-GO-CORRECTNESS,w2.5 drift 0.0825-0.112 rel vs df across hint/no-hint/cap0 variants,do not merge; worktree left isolated/dirty
results/AGENT-COORDINATION-ARCHIVE-20260707.md,3695,2026-07-05,executor,executor-mode recheck @359a231,small,NO-GO,df2-df +482.78 (0/320); ws-df +314.10 (0/320),keep mode=df
results/AGENT-COORDINATION-ARCHIVE-20260707.md,3707,2026-07-05,tma-smem,n128 three-stage cp.async feed (MK_N128_STAGE3),small,NO-GO,+82.40/+51.38 combined +66.62 (0/400),first schedule failed parity then fixed; keep two-stage n128 feed
results/AGENT-COORDINATION-ARCHIVE-20260707.md,3722,2026-07-05,gemm-fwd,n128 direct BF16 store (MK_N128_DIRECT_BF16),small,NO-GO,+31.94/+0.98 combined +16.77 (103/400) order-sensitive,keep coalesced smem n128 epilogue; direct-epilogue idea later promoted as fc32323
results/AGENT-COORDINATION-ARCHIVE-20260707.md,3735,2026-07-05,rowop,SwiGLU DSSG forward-cache,small,NO-GO,+65.15/+38.22 combined +53.15 (3/400),keep MK_SWIGLU_CACHE_SIG as small default
results/AGENT-COORDINATION-ARCHIVE-20260707.md,3747,2026-07-05,rowop,SWIGLU_EXP2 all-shape + s128 attempt,all+s128,INVALID,all-shape clean and negative overall; S128-gated run interrupted by unclaimed test_ops process on local GPU,do not use 062457Z S128 log (KeyboardInterrupt-only)
results/AGENT-COORDINATION-ARCHIVE-20260707.md,3754,2026-07-05,rowop,SWIGLU_EXP2 final verdict,small+s1024+s128,NO-GO,small +5.62; S1024 +9.42; S128 fresh-process +0.29 median neutral,source reverted; runtime gates exposed construction-order bias +/-12us
results/AGENT-COORDINATION-ARCHIVE-20260707.md,3766,2026-07-05,attention-dkv,old smem-drain DKV epilogue recheck,multi,NO-GO,default direct-atomic wins all shapes: S128 -6.43 S256 -21.52 nano -29.34 small -49.23 S1024 -47.76 S2048 -49.46,keep direct atomic
results/AGENT-COORDINATION-ARCHIVE-20260707.md,3777,2026-07-05,rowop,OP_SWIGLU_BWD_2W route,small,PROMOTED,fresh single-model -5.76 median (6/6); promoted -12.22 (193/240); nano/S128 stay old,broad A/B was order-sensitive at S128/S256
results/AGENT-COORDINATION-ARCHIVE-20260707.md,3797,2026-07-05,measurement,post-swb2w small profile,small,MEASUREMENT,total 3648.0; ATTN_DKV 376.1; GEMMNN 303.2; SWIGLU_BWD_2W 253.3,
results/AGENT-COORDINATION-ARCHIVE-20260707.md,3805,2026-07-05,rowop,small RMS dx FMA recheck,small,NO-GO,+2.40 median/+1.86 mean (94/240),keep FMA route limited to H256/S128; relaxation reverted
